"","layer","level","class","id","metric","value","id_park","escala"
"271",1,"class",21,NA,"pland",0.278499233344807,73,1000
"272",1,"class",24,NA,"pland",84.0848640360484,73,1000
"273",1,"class",25,NA,"pland",0.356729355070876,73,1000
"274",1,"class",24,NA,"pland",64.0407958953823,74,1000
"275",1,"class",33,NA,"pland",35.9592041046177,74,1000
"276",1,"class",24,NA,"pland",64.7712336483695,75,1000
"277",1,"class",33,NA,"pland",35.2287663516305,75,1000
"278",1,"class",24,NA,"pland",62.615389429546,76,1000
"279",1,"class",33,NA,"pland",37.384610570454,76,1000
"280",1,"class",24,NA,"pland",100,77,1000
"281",1,"class",24,NA,"pland",100,78,1000
"282",1,"class",3,NA,"pland",1.96354753851935,79,1000
"283",1,"class",6,NA,"pland",4.23712889891018,79,1000
"284",1,"class",19,NA,"pland",0.119002881122385,79,1000
"285",1,"class",24,NA,"pland",45.0707753977202,79,1000
"286",1,"class",25,NA,"pland",0.573092822247276,79,1000
"287",1,"class",33,NA,"pland",48.0364524614806,79,1000
"288",1,"class",3,NA,"pland",0.156430873197134,80,1000
"289",1,"class",6,NA,"pland",0.391077182992835,80,1000
"290",1,"class",24,NA,"pland",49.6542877702343,80,1000
"291",1,"class",25,NA,"pland",1.38910615399055,80,1000
"292",1,"class",33,NA,"pland",48.4090980195851,80,1000
"293",1,"class",3,NA,"pland",5.70123286813943,81,1000
"294",1,"class",6,NA,"pland",1.00444333187308,81,1000
"295",1,"class",15,NA,"pland",0.118906064209275,81,1000
"296",1,"class",19,NA,"pland",0.528819075035985,81,1000
"297",1,"class",24,NA,"pland",92.0207772701671,81,1000
"298",1,"class",25,NA,"pland",0.619563176669379,81,1000
"299",1,"class",33,NA,"pland",0.0062582139057513,81,1000
"300",1,"class",3,NA,"pland",0.522446425778195,82,1000
"301",1,"class",11,NA,"pland",0.100109494759894,82,1000
"302",1,"class",24,NA,"pland",72.8077584858439,82,1000
"303",1,"class",25,NA,"pland",0.118880025027374,82,1000
"304",1,"class",33,NA,"pland",26.4508055685906,82,1000
"305",1,"class",3,NA,"pland",2.53441802252816,83,1000
"306",1,"class",6,NA,"pland",3.77972465581977,83,1000
"307",1,"class",21,NA,"pland",0.103254067584481,83,1000
"308",1,"class",24,NA,"pland",92.9974968710889,83,1000
"309",1,"class",33,NA,"pland",0.585106382978723,83,1000
"310",1,"class",3,NA,"pland",0.450365922311878,84,1000
"311",1,"class",6,NA,"pland",1.11340464127103,84,1000
"312",1,"class",24,NA,"pland",62.6915618940389,84,1000
"313",1,"class",25,NA,"pland",1.38862826046162,84,1000
"314",1,"class",33,NA,"pland",34.3560392819166,84,1000
"315",1,"class",3,NA,"pland",0.409784784784785,85,1000
"316",1,"class",6,NA,"pland",1.14176676676677,85,1000
"317",1,"class",24,NA,"pland",46.946946946947,85,1000
"318",1,"class",25,NA,"pland",1.38888888888889,85,1000
"319",1,"class",33,NA,"pland",50.1126126126126,85,1000
"320",1,"class",3,NA,"pland",10.4237075979472,86,1000
"321",1,"class",6,NA,"pland",32.9609463011641,86,1000
"322",1,"class",15,NA,"pland",0.444360996370009,86,1000
"323",1,"class",19,NA,"pland",0.287895856803104,86,1000
"324",1,"class",21,NA,"pland",1.38315183377144,86,1000
"325",1,"class",24,NA,"pland",50.0625860558268,86,1000
"326",1,"class",25,NA,"pland",1.03579922393291,86,1000
"327",1,"class",33,NA,"pland",3.4015521341845,86,1000
"328",1,"class",3,NA,"pland",10.9703057041835,87,1000
"329",1,"class",6,NA,"pland",34.0936825307425,87,1000
"330",1,"class",15,NA,"pland",1.81169623580212,87,1000
"331",1,"class",19,NA,"pland",0.168966488313151,87,1000
"332",1,"class",21,NA,"pland",1.85863137144466,87,1000
"333",1,"class",24,NA,"pland",49.8857911699365,87,1000
"334",1,"class",25,NA,"pland",0.572608654839012,87,1000
"335",1,"class",33,NA,"pland",0.638317844738571,87,1000
"336",1,"class",24,NA,"pland",99.8717146433041,88,1000
"337",1,"class",33,NA,"pland",0.12828535669587,88,1000
"338",1,"class",3,NA,"pland",24.2388209156053,89,1000
"339",1,"class",6,NA,"pland",2.37819570047251,89,1000
"340",1,"class",11,NA,"pland",0.294145257690021,89,1000
"341",1,"class",24,NA,"pland",71.9498075539005,89,1000
"342",1,"class",25,NA,"pland",1.13590136746253,89,1000
"343",1,"class",33,NA,"pland",0.00312920486904278,89,1000
"344",1,"class",3,NA,"pland",19.3363772829622,90,1000
"345",1,"class",6,NA,"pland",2.09844883662747,90,1000
"346",1,"class",11,NA,"pland",0.293970477858394,90,1000
"347",1,"class",24,NA,"pland",77.4393294971228,90,1000
"348",1,"class",25,NA,"pland",0.82874655991994,90,1000
"349",1,"class",33,NA,"pland",0.00312734550913185,90,1000
"350",1,"class",3,NA,"pland",27.830955955956,91,1000
"351",1,"class",6,NA,"pland",2.62762762762763,91,1000
"352",1,"class",11,NA,"pland",0.294044044044044,91,1000
"353",1,"class",24,NA,"pland",68.043043043043,91,1000
"354",1,"class",25,NA,"pland",1.2012012012012,91,1000
"355",1,"class",33,NA,"pland",0.00312812812812813,91,1000
"356",1,"class",3,NA,"pland",30.0187734668335,92,1000
"357",1,"class",6,NA,"pland",2.81602002503129,92,1000
"358",1,"class",11,NA,"pland",0.294117647058824,92,1000
"359",1,"class",19,NA,"pland",0.147058823529412,92,1000
"360",1,"class",24,NA,"pland",65.4005006257822,92,1000
"361",1,"class",25,NA,"pland",1.32040050062578,92,1000
"362",1,"class",33,NA,"pland",0.00312891113892365,92,1000
"363",1,"class",3,NA,"pland",24.2471622001939,93,1000
"364",1,"class",6,NA,"pland",2.31401857468964,93,1000
"365",1,"class",11,NA,"pland",0.293942900028143,93,1000
"366",1,"class",24,NA,"pland",71.9440883079521,93,1000
"367",1,"class",25,NA,"pland",1.19766096500829,93,1000
"368",1,"class",33,NA,"pland",0.00312705212795897,93,1000
"369",1,"class",3,NA,"pland",17.056469263961,94,1000
"370",1,"class",6,NA,"pland",1.63216809455319,94,1000
"371",1,"class",11,NA,"pland",0.293915327371647,94,1000
"372",1,"class",24,NA,"pland",80.1106872615846,94,1000
"373",1,"class",25,NA,"pland",0.903633293727722,94,1000
"374",1,"class",33,NA,"pland",0.00312675880182603,94,1000
"375",1,"class",3,NA,"pland",32.1733687998748,95,1000
"376",1,"class",6,NA,"pland",2.71006102331404,95,1000
"377",1,"class",11,NA,"pland",0.294163667657644,95,1000
"378",1,"class",24,NA,"pland",63.4141761852605,95,1000
"379",1,"class",25,NA,"pland",1.40510092317321,95,1000
"380",1,"class",33,NA,"pland",0.00312940071976217,95,1000
"381",1,"class",3,NA,"pland",13.9280908721094,96,1000
"382",1,"class",6,NA,"pland",1.93697781393748,96,1000
"383",1,"class",11,NA,"pland",0.294145257690021,96,1000
"384",1,"class",24,NA,"pland",83.0835184779548,96,1000
"385",1,"class",25,NA,"pland",0.754138373439309,96,1000
"386",1,"class",33,NA,"pland",0.00312920486904278,96,1000
"387",1,"class",3,NA,"pland",22.6978315967333,97,1000
"388",1,"class",6,NA,"pland",2.33736975499859,97,1000
"389",1,"class",11,NA,"pland",0.294126850026597,97,1000
"390",1,"class",24,NA,"pland",73.6693889045339,97,1000
"391",1,"class",25,NA,"pland",0.998153884664727,97,1000
"392",1,"class",33,NA,"pland",0.00312900904283613,97,1000
"393",1,"class",3,NA,"pland",18.5607008760951,98,1000
"394",1,"class",6,NA,"pland",1.42991239048811,98,1000
"395",1,"class",11,NA,"pland",0.19712140175219,98,1000
"396",1,"class",24,NA,"pland",78.7546933667084,98,1000
"397",1,"class",25,NA,"pland",1.05444305381727,98,1000
"398",1,"class",33,NA,"pland",0.00312891113892365,98,1000
"399",1,"class",3,NA,"pland",34.8540317281517,99,1000
"400",1,"class",6,NA,"pland",3.02575174442254,99,1000
"401",1,"class",11,NA,"pland",0.294126850026597,99,1000
"402",1,"class",19,NA,"pland",0.341061985669139,99,1000
"403",1,"class",21,NA,"pland",0.0125160361713445,99,1000
"404",1,"class",24,NA,"pland",59.8203948809412,99,1000
"405",1,"class",25,NA,"pland",1.64898776557464,99,1000
"406",1,"class",33,NA,"pland",0.00312900904283613,99,1000
"407",1,"class",3,NA,"pland",28.1363352095059,100,1000
"408",1,"class",6,NA,"pland",2.62976860537836,100,1000
"409",1,"class",11,NA,"pland",0.293933708567855,100,1000
"410",1,"class",24,NA,"pland",67.5547217010632,100,1000
"411",1,"class",25,NA,"pland",1.38211382113821,100,1000
"412",1,"class",33,NA,"pland",0.00312695434646654,100,1000
"413",1,"class",3,NA,"pland",2.04285937744408,101,1000
"414",1,"class",6,NA,"pland",3.85734396996715,101,1000
"415",1,"class",15,NA,"pland",0.0312842171124668,101,1000
"416",1,"class",21,NA,"pland",0.178320037541061,101,1000
"417",1,"class",24,NA,"pland",93.8901923979353,101,1000
"418",1,"class",3,NA,"pland",9.90926157697121,102,1000
"419",1,"class",6,NA,"pland",25.3723404255319,102,1000
"420",1,"class",19,NA,"pland",0.287859824780976,102,1000
"421",1,"class",21,NA,"pland",0.935544430538173,102,1000
"422",1,"class",24,NA,"pland",43.1289111389237,102,1000
"423",1,"class",25,NA,"pland",1.0450563204005,102,1000
"424",1,"class",33,NA,"pland",19.3210262828536,102,1000
"425",1,"class",24,NA,"pland",100,103,1000
"426",1,"class",24,NA,"pland",100,104,1000
"427",1,"class",24,NA,"pland",100,105,1000
"428",1,"class",24,NA,"pland",100,106,1000
"429",1,"class",24,NA,"pland",100,107,1000
"430",1,"class",24,NA,"pland",100,108,1000
"431",1,"class",24,NA,"pland",100,109,1000
"432",1,"class",3,NA,"pland",4.14582291145573,110,1000
"433",1,"class",11,NA,"pland",0.087543771885943,110,1000
"434",1,"class",15,NA,"pland",0.1532016008004,110,1000
"435",1,"class",23,NA,"pland",4.21773386693347,110,1000
"436",1,"class",24,NA,"pland",34.2608804402201,110,1000
"437",1,"class",25,NA,"pland",0.087543771885943,110,1000
"438",1,"class",33,NA,"pland",57.0472736368184,110,1000
"439",1,"class",3,NA,"pland",5.95193390912505,111,1000
"440",1,"class",6,NA,"pland",0.165853047940919,111,1000
"441",1,"class",11,NA,"pland",0.0876204781574665,111,1000
"442",1,"class",15,NA,"pland",0.200275378645638,111,1000
"443",1,"class",23,NA,"pland",4.32782576042058,111,1000
"444",1,"class",24,NA,"pland",38.2525973213168,111,1000
"445",1,"class",25,NA,"pland",0.0876204781574665,111,1000
